case,direction,maximum_mixed_ratio,num_nodes,receiver_absolute_error,receiver_mixed_ratio,receiver_relative_error,rhs_absolute_error,rhs_mixed_ratio,rhs_relative_error,same_near_direct_branch,scattered_absolute_error,scattered_mixed_ratio,scattered_objective_absolute_error,scattered_objective_mixed_ratio,scattered_relative_error,solution_absolute_error,solution_mixed_ratio,solution_relative_error,step,system_absolute_error,system_mixed_ratio,system_relative_error,total_absolute_error,total_mixed_ratio,total_objective_absolute_error,total_objective_mixed_ratio,total_relative_error
circle,mixed,13.189199240088149,32,8.866406654251707e-07,0.3715719578305255,7.432345026530545e-06,6.595507811683257e-11,0.38813886417674814,7.763829878869242e-06,True,2.1022961540755445e-13,0.5375577589166848,1.4258516705579105e-06,13.189199240088149,1.0752413140864091e-05,7.394206886859264e-11,0.5059653395761028,1.0120663440562464e-05,0.01,0.0003083844283280219,0.40052096177176294,8.011760942349718e-06,3.86492801848215e-13,0.3022906368516766,1.791728919467439e-07,1.7124205878988616,6.047390346985409e-06
circle,mixed,0.13189588809363778,32,8.866832975409714e-09,0.0037158982768519385,7.432702394070969e-08,6.595850871834885e-13,0.00388159048873298,7.764233708374341e-08,True,2.102386811412956e-15,0.005375810521088007,1.4258937859276417e-08,0.13189588809363778,1.0752876817280093e-07,7.394376707191453e-13,0.005059769281508325,1.0120895878530964e-07,0.001,3.083865044346769e-06,0.004005237676137614,8.011814879152885e-08,3.865135566287971e-15,0.0030230686708221624,1.7917390409349053e-09,0.017124302613539703,6.047715093679644e-08
circle,mixed,0.001322523500849408,32,9.010520856487766e-11,3.776114769443669e-05,7.553150051159994e-10,6.6685708649086145e-15,3.9243854536293435e-05,7.849835252809916e-10,True,2.1658820664990826e-17,5.538168228843627e-05,1.4297474082479791e-10,0.001322523500849408,1.1077629927752679e-09,7.440271018140437e-15,5.091173468317801e-05,1.0183712740712173e-09,0.0001,3.070879259951504e-08,3.9883722117639696e-05,7.978078091342997e-10,3.916679825905519e-17,3.063383382306522e-05,1.790059650529953e-11,0.00017108252067760628,6.128365562863824e-10
circle,mixed,7.001114531417212e-05,32,6.922409240303392e-11,2.901032270088288e-05,5.802771730992771e-10,5.357106207235338e-15,3.152601973784753e-05,6.306058975828108e-10,True,2.020850944690823e-17,5.167323139890632e-05,7.568731557293373e-12,7.001114531417212e-05,1.0335853115317263e-09,5.8839095406030714e-15,4.026197977355204e-05,8.053476063942272e-10,1e-05,2.327367208248755e-08,3.0227195339246393e-05,6.046449815461887e-10,4.087952764388344e-17,3.1973424230562185e-05,8.788597020276123e-15,8.399582276509057e-08,6.396353558999292e-10
circle,mixed,0.00042169003418495577,32,7.799885191663362e-10,0.00032687634981873136,6.538323829752315e-09,6.346711010261688e-14,0.00037349742349256467,7.470961445414851e-09,True,1.364005142838727e-16,0.0003487766060881403,2.694342432539923e-11,0.00024922802208372845,6.9763466929399634e-09,6.162603104540917e-14,0.00042169003418495577,8.434931953238313e-09,1e-06,2.8724152070035493e-07,0.00037306126542290175,7.462472761823068e-09,1.5529138613414072e-16,0.00012145926468195995,2.1834457527604434e-13,2.086798632852708e-06,2.429819197115077e-09
circle,tangential_phase,1.4942684570833678,32,4.95347304081468e-06,1.4323873463511538,2.865015618587764e-05,3.9245294843239403e-10,1.43238734491637,2.8650156157179556e-05,True,1.1669895486383893e-20,0.0002555626650697689,4.520030495874414e-15,4.52003049587432e-08,0.2555626656498082,4.3031591164337787e-10,1.4942684570833678,2.9887403300221727e-05,0.01,2.9101797290546097e-11,0.00022610557577241905,0.22610557577521576,1.1760083068943495e-20,3.525693009571468e-05,8.59031584117091e-17,8.590315841170907e-10,0.03525693010666958
circle,tangential_phase,0.014942870788191249,32,4.9535431615549776e-08,0.01432407623045968,2.865056175387909e-07,3.9245823686257535e-12,0.014324066467982807,2.8650542227283313e-07,True,1.1925371357198806e-19,0.0026115741049680865,1.9086286683217167e-14,1.9086286683216773e-07,2.6115741108954604,4.303212742869917e-12,0.014942870788191249,2.9887775760286776e-07,0.001,2.676896742265025e-10,0.002079807213109031,2.0798072131347562,1.1891922109465856e-19,0.00035652185793173,5.965793223113268e-16,5.965793223113266e-09,0.35652185804250713
circle,tangential_phase,0.020600822112745724,32,4.962293489659963e-10,0.00014349379404920764,2.8701172358765767e-09,3.9352911038419625e-14,0.00014363151552870124,2.872871897112376e-09,True,9.407064248750756e-19,0.020600822112745724,6.338202615875536e-13,6.338202615875405e-06,20.6008221595025,4.315832017830314e-14,0.00014986691116499747,2.997542238219704e-09,0.0001,2.2293767326845896e-09,0.017321078307456814,17.32107830767106,9.568542827559298e-19,0.002868665498460785,1.3182105630674377e-14,1.318210563067437e-07,2.868665499352126
circle,tangential_phase,0.2866409379573263,32,5.559489769225211e-11,1.6076281695675053e-05,3.215526740323086e-10,4.364103323810188e-15,1.5928244131945986e-05,3.1859167376026714e-10,True,1.3089039383619816e-17,0.2866409379573263,6.380425693307417e-12,6.380425693307284e-05,286.64093860790257,5.7122570872892065e-15,1.983576566269538e-05,3.967423158264468e-10,1e-05,2.635304505992102e-08,0.20474922449431077,204.74922449684328,1.2894461997553459e-17,0.038657817517477294,1.4577209725106763e-13,1.4577209725106758e-06,38.6578175294889
circle,tangential_phase,3.195922604990673,32,4.634114917037171e-10,0.00013400391026675433,2.6803035983533777e-09,3.426209140895927e-14,0.00012505087894126325,2.5012279129490123e-09,True,1.4593713355051703e-16,3.195922604990673,2.645442891687653e-11,0.0002645442891687598,3195.9226122443174,4.738402986893508e-14,0.00016454065324297064,3.2910370552513335e-09,1e-06,1.7036963512102199e-07,1.3236819725800775,1323.6819725964501,1.4539565797523244e-16,0.43589866835130614,3.2695244466876247e-13,3.2695244466876236e-06,435.8986684867469
