best_same_branch_fd_mixed_ratio,case,direction,discrete_gate_passed,fd_observed_orders,maximum_adjoint_jvp_absolute_difference,num_nodes,relative_physical_jvp_norm,same_branch_fd_step_count,scattered_objective_jvp,seconds,total_objective_jvp
0.01475225004244386,circle,translation_x,True,"[1.999990058003622, 1.9995755672303637, -0.05222775600355359, -0.8883169332646403]",5.204170427930421e-17,128,0.5001505066964587,5,0.004079903634611108,1.5205897642299533,7.313601074642372e-05
0.006772808333879748,circle,translation_y,True,"[2.000002741524049, 2.0126892046704676, -0.29720804645423893, -1.021791828067759]",1.6046192152785466e-17,128,0.19317651135009603,5,0.002063147374936924,1.5382433952763677,3.96399426971339e-05
8.792856954520923e-05,circle,scale,True,"[2.0000143476178835, 1.9906317526358606, 0.055099065598063636, -1.1645348663914343]",2.2789929665645303e-16,128,0.47202175135890745,5,0.0018197936574676965,1.508558040484786,5.429454498394715e-05
0.00017205830772790522,circle,shape_mode4,True,"[1.9998510765075033, 1.7969515775325895, -0.9579738311150926, -0.9184181129332286]",1.9027748127120603e-17,128,0.09127089508821444,5,-0.0002885692414297686,1.5005917754024267,-4.2869352664237445e-06
9.62455475847307e-05,circle,interior_epsr,True,"[2.0000098921728933, 2.0101376056526408, 0.07153971213531546, -0.9747804437441498]",2.0816681711721685e-17,128,0.4557721991199031,5,0.002600130978728652,1.5161784486845136,5.0260908643772925e-05
0.0001807139537978828,circle,exterior_epsr,True,"[1.999972352133164, 1.9997544082219079, 1.7305137312538361, -0.9089478971862056]",2.49366499671666e-16,128,2.7045932957246657,5,0.0037382925059858056,1.5095611372962594,0.0012744059987737665
0.00011212358301026021,circle,mixed,True,"[1.9999755285942382, 1.9597125998805023, -0.2789598748022471, -0.9446740119859732]",7.39425881635114e-17,128,0.43998459353486896,5,-0.0004053761892318143,1.5157372867688537,0.00023156791075540115
0.01494287429547346,circle,tangential_phase,True,"[-0.7310451830321676, -0.9398743001390444, -1.0263872672504564, -1.1162070571137375]",6.633351388214203e-17,128,5.6257922443998944e-15,5,-9.113463857774795e-17,1.5174721851944923,-2.0972477742318873e-18
0.005878602748558678,ellipse,translation_x,True,"[1.9999897058733713, 1.995146296330017, 0.04441568751690601, -0.9912994541215139]",2.5153490401663703e-17,32,0.4015866614599383,5,-0.004042865282251188,0.16184687335044146,-4.1552764262160574e-05
0.01128327441141864,ellipse,translation_y,True,"[1.9999974813524288, 1.9932970303550863, 0.21510861254903493, -1.0688826559849347]",1.691355389077387e-17,32,0.22877097135938565,5,0.0012353636769400315,0.16125216986984015,6.950186062140459e-07
0.00010492632128318771,ellipse,scale,True,"[1.999988910837143, 1.9977044745127759, 0.3459993283498959, -1.0852229922472993]",7.15573433840433e-18,32,0.5357542582307755,5,-0.0007590663563818449,0.1608255198225379,1.6092758127989197e-05
0.00016862534562907616,ellipse,shape_mode4,True,"[1.9999713456231134, 1.9064566785195594, -0.7163151480094071, -1.1108951945460481]",2.3201926491189795e-17,32,0.079748030001092,5,-0.0008478819536407707,0.1607430037111044,-1.9081576682211528e-05
3.355786446929006e-05,ellipse,interior_epsr,True,"[1.9999963763789923, 2.004816753874521, 0.5325970389212744, -0.8986605495936271]",8.673617379884035e-18,32,0.45015904844357013,5,0.00010932329039719559,0.161455187946558,-1.4394891526262111e-05
