status,shape,source_kind,num_nodes,frequency_ghz,frequency_hz,reference_kind,reference_nodes,receiver_absolute_error_l2,receiver_relative_error_l2,receiver_mixed_relative_error_l2,receiver_max_absolute_error,receiver_adjacent_relative_difference,receiver_error_ratio_to_previous,receiver_reference_l2,receiver_observed_l2,trace_reference_kind,dirichlet_trace_relative_error_l2,neumann_trace_relative_error_l2,maximum_trace_relative_error_l2,condition_number_2,linear_system_relative_residual,maximum_per_source_residual,incident_representation_leak,circle_delta_v_scaled_action_error,circle_delta_k_scaled_action_error,circle_delta_kp_scaled_action_error,circle_delta_t_scaled_action_error,circle_max_scaled_block_action_error,overlap_pair_count,overlap_max_relative_error,near_pair_count,direct_pair_count,minimum_speed,speed_ratio,area,perimeter,retained_block_bytes,retained_system_matrix_bytes,retained_core_dense_bytes,k_exterior_real,k_exterior_imag,k_interior_real,k_interior_imag,block_build_seconds,matrix_composition_seconds,system_assembly_seconds,condition_seconds,solve_seconds,receiver_seconds,forward_total_seconds,measured_total_seconds,reference_seconds,reference_relative_residual,reference_incident_consistency,timing_repeats,largest_n_gate,failure_reason
ok,ellipse,analytic,128,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,3.2943916750593164e-15,8.659280541596574e-14,8.659280541596574e-14,1.4414810999129195e-15,1.5895333670656757e-15,1.0103376251829468,0.03804463499287327,0.03804463499287528,nystrom_ref_periodic_resample,1.617099335289079e-14,3.8776262929698185e-13,3.8776262929698185e-13,96.12217673190905,6.324005248098773e-16,6.709078029448299e-16,1.1629311940088309e-16,,,,,,256,9.183394062488569e-15,2896,13360,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126373,1048576,1048576,2097152,25.668754417769875,0.0,18.150550313417227,0.0,0.03772155661135912,0.00010757707059383392,0.03784155286848545,0.008744402788579464,0.0015992140397429466,0.0009040385484695435,0.041157196275889874,0.04998145066201687,0.6744726076722145,6.304015459982332e-16,1.7311641793946378e-15,3,diagnostic,
ok,ellipse,analytic,256,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,3.2672082046740683e-15,8.587829020533643e-14,8.587829020533643e-14,1.4260672035996315e-15,1.3461272071175292e-15,0.9917485614746283,0.03804463499287327,0.03804463499287527,nystrom_ref_periodic_resample,1.6154416687823543e-14,4.2321641326104604e-13,4.2321641326104604e-13,96.12217673190891,6.230984425775185e-16,6.529931233371719e-16,5.311236189361208e-17,,,,,,256,9.7891705313089e-15,11828,53452,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126374,4194304,4194304,8388608,25.668754417769875,0.0,18.150550313417227,0.0,0.1452724849805236,0.0006914110854268074,0.1460225936025381,0.05473221559077501,0.01085046585649252,0.001473134383559227,0.15998032595962286,0.2147417413070798,0.6744726076722145,6.304015459982332e-16,1.7311641793946378e-15,3,pass,
ok,ellipse,analytic,64,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,8.027871649548626e-13,1.1845647209034327e-11,1.1845647209034327e-11,4.9044510788452e-13,,,0.06777064611063213,0.0677706461109996,nystrom_ref_periodic_resample,8.402198846997795e-11,5.4456956430058715e-11,8.402198846997795e-11,14381.15310431884,3.796427963816945e-15,5.669315213156859e-15,8.804739661467922e-16,,,,,,164,4.632783362093491e-15,72,3960,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126373,262144,262144,524288,128.34377208884936,0.0,90.75275156708614,0.0,0.017620613798499107,4.089716821908951e-05,0.017673480324447155,0.0013205045834183693,0.00028369762003421783,0.0005307551473379135,0.019040947780013084,0.020388768054544926,1.0825463235378265,5.63808114864106e-15,1.359584760497659e-15,3,diagnostic,
ok,ellipse,analytic,128,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,8.029523345236354e-13,1.1848084393541956e-11,1.1848084393541956e-11,4.906900287776786e-13,1.1571889407485364e-14,1.0002057451538628,0.06777064611063213,0.06777064611099962,nystrom_ref_periodic_resample,1.0352288091189632e-11,1.4322655300091164e-11,1.4322655300091164e-11,14381.153104318733,3.9281241441453896e-15,5.5448332874091094e-15,6.04555559472134e-16,,,,,,256,1.0279485991656038e-14,452,15804,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126373,1048576,1048576,2097152,128.34377208884936,0.0,90.75275156708614,0.0,0.06605716701596975,0.00011039525270462036,0.06618267297744751,0.00794525071978569,0.0016347616910934448,0.0007270295172929764,0.06927527021616697,0.0772262318059802,1.0825463235378265,5.63808114864106e-15,1.359584760497659e-15,3,diagnostic,
ok,ellipse,analytic,256,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,8.026906966219564e-13,1.1844223755984335e-11,1.1844223755984335e-11,4.904083721062844e-13,9.043118913201572e-15,0.9996741551267372,0.06777064611063213,0.06777064611099957,nystrom_ref_periodic_resample,1.0362692252385342e-11,1.432035075068613e-11,1.432035075068613e-11,14381.153104318664,5.739787169135646e-15,6.7657831756502e-15,3.606512208694927e-16,,,,,,256,9.700833674686633e-15,2104,63176,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126374,4194304,4194304,8388608,128.34377208884936,0.0,90.75275156708614,0.0,0.25737740378826857,0.0007523130625486374,0.25815723463892937,0.050799207761883736,0.011060827411711216,0.0010974444448947906,0.2717518750578165,0.32298521511256695,1.0825463235378265,5.63808114864106e-15,1.359584760497659e-15,3,pass,
ok,ellipse,analytic,64,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,0.0005611715566731167,0.013188541209282366,0.013188541209282366,0.00034929617494826987,,,0.04254993389853858,0.0424579955904507,nystrom_ref_periodic_resample,0.036539659128084094,0.026864838681765157,0.036539659128084094,382227.1096333106,2.5902709599027047e-15,3.4296652761278333e-15,0.001081257576472871,,,,,,0,,0,4032,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126373,262144,262144,524288,410.700070684318,0.0,290.40880501467564,0.0,0.01369666401296854,4.1171908378601074e-05,0.013749958947300911,0.0013765059411525726,0.0002857483923435211,0.0005207443609833717,0.015101741068065166,0.01651094574481249,0.8934136191383004,3.7493708510219874e-14,4.360580294974538e-15,3,diagnostic,
ok,ellipse,analytic,128,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,2.950769275875447e-10,6.934838683678411e-09,6.934838683678411e-09,1.6671285364553278e-10,0.01318853742944277,5.258230287666333e-07,0.04254993389853858,0.042549933796752024,nystrom_ref_periodic_resample,1.360308031518207e-06,5.311564991441213e-07,1.360308031518207e-06,378106.5148863694,5.418255201592525e-15,6.692077245023361e-15,2.26886405402381e-15,,,,,,128,3.983694003312244e-15,32,16224,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126373,1048576,1048576,2097152,410.700070684318,0.0,290.40880501467564,0.0,0.05451309680938721,0.00011634454131126404,0.05463541857898235,0.008028865791857243,0.0016335248947143555,0.0006845779716968536,0.05770466476678848,0.06574798841029406,0.8934136191383004,3.7493708510219874e-14,4.360580294974538e-15,3,diagnostic,
ok,ellipse,analytic,256,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,1.1731937105626298e-10,2.757216294060857e-09,2.757216294060857e-09,7.551774535728755e-11,5.820551617154303e-09,0.39758910334138603,0.04254993389853858,0.04254993391062834,nystrom_ref_periodic_resample,2.7545845149601483e-09,3.062293217050772e-09,3.062293217050772e-09,378106.51555896824,1.5996276338852772e-14,2.297275623480643e-14,1.598643390187993e-15,,,,,,256,8.898879225478477e-15,572,64708,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126374,4194304,4194304,8388608,410.700070684318,0.0,290.40880501467564,0.0,0.21109760086983442,0.0006176307797431946,0.21176985744386911,0.05016598850488663,0.010877484455704689,0.0010129520669579506,0.2251009913161397,0.27514142636209726,0.8934136191383004,3.7493708510219874e-14,4.360580294974538e-15,3,pass,
ok,star,analytic,64,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,5.2079905359630445e-11,1.3273387970048873e-09,1.3273387970048873e-09,2.6054234040194184e-11,,,0.03923633173169328,0.03923633173177502,nystrom_ref_periodic_resample,1.209334219603106e-09,4.686940450088218e-08,4.686940450088218e-08,72.71362177370449,7.906224785125485e-16,9.454883873579039e-16,3.2110059977022655e-15,,,,,,256,8.095748979357115e-15,586,3446,0.037500000000000006,2.1511567163909344,0.0080994185600362,0.41490374230906163,262144,262144,524288,25.668754417769875,0.0,18.150550313417227,0.0,0.01062192115932703,4.0329061448574066e-05,0.01067561749368906,0.0014872103929519653,0.0002778889611363411,0.000624961219727993,0.012166901491582394,0.013681944459676743,0.6396715454757214,6.150410581062311e-16,1.4564139838086873e-15,3,diagnostic,
ok,star,analytic,128,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,8.413057736869885e-14,2.144200888706986e-12,2.144200888706986e-12,3.676055134434329e-14,1.3273305301916196e-09,0.0016154134072968644,0.03923633173169328,0.03923633173174853,nystrom_ref_periodic_resample,6.205208413939546e-13,1.2692055651494794e-12,1.2692055651494794e-12,72.71361029140928,5.31046440816374e-16,5.784589212223059e-16,1.1066586618674967e-16,,,,,,256,1.0331117187767998e-14,2450,13806,0.037500000000000006,2.151411108614514,0.008099418560036181,0.41490374230906163,1048576,1048576,2097152,25.668754417769875,0.0,18.150550313417227,0.0,0.03650394547730684,0.00011134985834360123,0.03663124889135361,0.008644144050776958,0.0015961350873112679,0.0008927676826715469,0.03990670386701822,0.04856924153864384,0.6396715454757214,6.150410581062311e-16,1.4564139838086873e-15,3,diagnostic,
ok,star,analytic,256,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,8.412575739091042e-14,2.1440780439461304e-12,2.1440780439461304e-12,3.6762905998223125e-14,1.6935339886375386e-15,0.9999427083714485,0.03923633173169328,0.03923633173174852,nystrom_ref_periodic_resample,6.205490106141492e-13,1.2703351724683924e-12,1.2703351724683924e-12,72.71361029140758,5.715547548164998e-16,5.814055560065929e-16,8.294757359714447e-17,,,,,,256,1.6295153401053283e-14,10042,55238,0.037500000000000006,2.1516459821437643,0.008099418560036185,0.41490374230906163,4194304,4194304,8388608,25.668754417769875,0.0,18.150550313417227,0.0,0.13964473828673363,0.0006005074828863144,0.14027049019932747,0.05396032799035311,0.010797635652124882,0.001441923901438713,0.15398788172751665,0.2079907739534974,0.6396715454757214,6.150410581062311e-16,1.4564139838086873e-15,3,pass,
ok,star,analytic,64,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,5.3125102473672484e-08,7.787287560769886e-07,7.787287560769886e-07,2.3321989614743428e-08,,,0.06822029115927536,0.06822028005468067,nystrom_ref_periodic_resample,4.6345303174293014e-05,3.1319340312599426e-05,4.6345303174293014e-05,24040.91678566856,2.8481751680657574e-15,3.4569444662800882e-15,7.379675917780826e-08,,,,,,142,3.912179961832631e-15,32,4000,0.037500000000000006,2.1511567163909344,0.0080994185600362,0.41490374230906163,262144,262144,524288,128.34377208884936,0.0,90.75275156708614,0.0,0.018063848838210106,4.55779954791069e-05,0.01812168676406145,0.001353677362203598,0.00032257940620183945,0.0005607958883047104,0.01954416837543249,0.020927240140736103,1.0929576782509685,2.476774137824437e-14,8.743655149770745e-16,3,diagnostic,
ok,star,analytic,128,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,7.464185288477414e-12,1.0941297906587093e-10,1.0941297906587093e-10,3.2953497992677513e-12,7.786839131409876e-07,0.0001405020402958561,0.06822029115927536,0.06822029115795741,nystrom_ref_periodic_resample,1.9619502504482946e-10,1.7999282440402657e-10,1.9619502504482946e-10,24040.853349377634,1.1436792230267859e-14,1.7045490402203337e-14,8.504132692631409e-16,,,,,,256,6.698185340476017e-15,330,15926,0.037500000000000006,2.151411108614514,0.008099418560036181,0.41490374230906163,1048576,1048576,2097152,128.34377208884936,0.0,90.75275156708614,0.0,0.06756694987416267,0.0001724790781736374,0.06776201538741589,0.008014151826500893,0.0017341766506433487,0.0007520494982600212,0.07117577269673347,0.07922874204814434,1.0929576782509685,2.476774137824437e-14,8.743655149770745e-16,3,diagnostic,
ok,star,analytic,256,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,7.464329217598877e-12,1.0941508883583844e-10,1.0941508883583844e-10,3.2948782535972065e-12,2.3502967100764766e-14,1.0000192826297714,0.06822029115927536,0.06822029115795737,nystrom_ref_periodic_resample,9.294662458352702e-11,1.0511259631397921e-10,1.0511259631397921e-10,24040.853349376826,2.214036550313243e-14,3.1268968381238324e-14,5.85190509666317e-16,,,,,,256,6.66089834549593e-15,1692,63588,0.037500000000000006,2.1516459821437643,0.008099418560036185,0.41490374230906163,4194304,4194304,8388608,128.34377208884936,0.0,90.75275156708614,0.0,0.2616337928920984,0.0008018994703888893,0.2624334981665015,0.05062606558203697,0.01111310999840498,0.0011035297065973282,0.27622142247855663,0.3264596648514271,1.0929576782509685,2.476774137824437e-14,8.743655149770745e-16,3,pass,
ok,star,analytic,64,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,0.01762503440672552,0.5548500245337248,0.5548500245337248,0.010547673865533454,,,0.03176540259061345,0.036930611939175385,nystrom_ref_periodic_resample,0.4301817271002507,0.425144421489671,0.4301817271002507,689289.4824472917,2.7129280689769855e-15,2.9950729301894807e-15,0.035024016288911095,,,,,,0,,0,4032,0.037500000000000006,2.1511567163909344,0.0080994185600362,0.41490374230906163,262144,262144,524288,410.700070684318,0.0,290.40880501467564,0.0,0.013908708468079567,4.096049815416336e-05,0.013963494449853897,0.001391492784023285,0.0002890508621931076,0.0005173161625862122,0.015310682356357574,0.016727921552956104,0.9081948064267635,8.717628362882663e-14,4.899265495193827e-15,3,diagnostic,
ok,star,analytic,128,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,2.824190156186926e-06,8.890774005242618e-05,8.890774005242618e-05,1.482952778990742e-06,0.5548770562909168,0.00016023742654988784,0.03176540259061345,0.031764351093923684,nystrom_ref_periodic_resample,0.0005665321288282621,0.0002160017180008766,0.0005665321288282621,383952.821647918,8.231523745962099e-15,9.71606704012822e-15,2.977611576726425e-08,,,,,,56,3.2188962430492347e-15,0,16256,0.037500000000000006,2.151411108614514,0.008099418560036181,0.41490374230906163,1048576,1048576,2097152,410.700070684318,0.0,290.40880501467564,0.0,0.05455321818590164,0.00011278968304395676,0.054680936969816685,0.00812527071684599,0.0016456013545393944,0.0006996449083089828,0.057751492597162724,0.0659088185057044,0.9081948064267635,8.717628362882663e-14,4.899265495193827e-15,3,diagnostic,
ok,star,analytic,256,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,3.8869872911956994e-10,1.2236543453550588e-08,1.2236543453550588e-08,2.388681590382867e-10,8.890462243098458e-05,0.00013763192548067326,0.03176540259061345,0.031765402491476885,nystrom_ref_periodic_resample,9.810264226359837e-09,1.1060453081319749e-08,1.1060453081319749e-08,383970.53172942874,3.8841563688363697e-14,4.7921463063669286e-14,2.9947527099198118e-15,,,,,,256,7.748133073166882e-15,336,64944,0.037500000000000006,2.1516459821437643,0.008099418560036185,0.41490374230906163,4194304,4194304,8388608,410.700070684318,0.0,290.40880501467564,0.0,0.2151525840163231,0.0009069452062249184,0.21626563277095556,0.05078472662717104,0.011220568791031837,0.0010481411591172218,0.23007803596556187,0.2809562422335148,0.9081948064267635,8.717628362882663e-14,4.899265495193827e-15,3,pass,
