curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfband,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,trace_error
circle,24,5.575451929415153e-16,3.505319840989285e-17,6.253796583960519e-13,5.062706571102665e-08,256,15,3.5,10.0,1,1,1,10.0,1.772356634323474e-15,1,5116,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5326947105372761,1.142295956820099e-15
circle,24,5.575451929415153e-16,0.0,1.8188400417103455e-13,5.062706571102665e-08,256,16,3.5,10.0,1,1,1,10.0,1.758443273313036e-15,1,5380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5601832569762599,1.1235641846068661e-15
circle,24,5.575451929415153e-16,0.0,3.985377080628303e-14,5.062706571102665e-08,256,17,3.5,10.0,1,1,1,10.0,1.7522125778596834e-15,1,5636,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5868388171595169,1.1218631221218237e-15
circle,24,5.575451929415153e-16,0.0,3.985377080628303e-14,5.062706571102665e-08,256,18,3.5,10.0,1,1,1,10.0,1.7495369213978136e-15,1,5884,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6126613910870471,1.1183039295647398e-15
circle,24,5.575451929415153e-16,0.0,1.9926885403141515e-14,5.062706571102665e-08,256,19,3.5,10.0,1,1,1,10.0,1.7439140581073608e-15,1,6124,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6376509787588505,1.1122025165829959e-15
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,20,3.5,10.0,1,1,1,10.0,1.722286944642356e-15,1,6356,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6618075801749271,1.0872764743286666e-15
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,21,3.5,10.0,1,1,1,10.0,1.717487303194111e-15,1,6580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.685131195335277,1.0797765123846078e-15
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,22,3.5,10.0,1,1,1,10.0,1.688321592535074e-15,1,6796,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7076218242399,1.052045937205882e-15
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,23,3.5,10.0,1,1,1,10.0,1.581012468736097e-15,1,7004,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7292794668887963,9.399296872299855e-16
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,24,3.5,10.0,1,1,1,10.0,1.3418143178922124e-15,1,7204,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7501041232819659,6.661956086800684e-16
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,25,3.5,10.0,1,1,1,10.0,1.1514225124765233e-15,1,7396,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7700957934194086,3.622645553040781e-16
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,26,3.5,10.0,1,1,1,10.0,1.1022600619017854e-15,1,7580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7892544773011245,2.3643034347800053e-16
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,27,3.5,10.0,1,1,1,10.0,1.0860728170160668e-15,1,7756,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8075801749271136,1.8766488774282232e-16
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,28,3.5,10.0,1,1,1,10.0,1.008282316157659e-15,1,7924,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8250728862973761,5.627991798905876e-17
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,29,3.5,10.0,1,1,1,10.0,9.982747854135608e-16,1,8084,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8417326114119117,2.1143664765325698e-17
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,30,3.5,10.0,1,1,1,10.0,9.89310078750407e-16,1,8236,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8575593502707205,1.0077819783938147e-17
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,31,3.5,10.0,1,1,1,10.0,9.769148626818394e-16,1,8380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8725531028738026,3.50749853406819e-18
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,32,3.5,10.0,1,1,1,10.0,8.98168834424343e-16,1,8516,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8867138692211578,4.579438286952151e-19
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,33,3.5,10.0,1,1,1,10.0,8.86662984422985e-16,1,8644,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9000416493127863,2.0613937282595712e-19
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,34,3.5,10.0,1,1,1,10.0,8.640129833192572e-16,1,8764,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9125364431486881,8.5330862806499e-20
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,35,3.5,10.0,1,1,1,10.0,8.527446431141177e-16,1,8876,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.924198250728863,3.0752889336984505e-20
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,36,3.5,10.0,1,1,1,10.0,8.166636582971406e-16,1,8980,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9350270720533111,5.325124822819905e-21
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,37,3.5,10.0,1,1,1,10.0,8.016801396412564e-16,1,9076,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9450229071220325,4.49201568547737e-22
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,38,3.5,10.0,1,1,1,10.0,7.876891375226157e-16,1,9164,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9541857559350271,2.7768277616807036e-22
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,39,3.5,10.0,1,1,1,10.0,7.637586028851889e-16,1,9244,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9625156184922948,4.1360689380163003e-23
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,40,3.5,10.0,1,1,1,10.0,6.037555056736953e-16,1,9316,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9700124947938359,5.188643457132162e-24
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,41,3.5,10.0,1,1,1,10.0,5.858659706745364e-16,1,9380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9766763848396501,2.2383577576879256e-24
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,42,3.5,10.0,1,1,1,10.0,5.670198077532178e-16,1,9436,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9825072886297376,9.940650232911857e-25
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,43,3.5,10.0,1,1,1,10.0,5.029969861671014e-16,1,9484,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9875052061640983,2.0320235108654548e-25
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,44,3.5,10.0,1,1,1,10.0,4.441571225913546e-16,1,9524,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9916701374427322,5.84661677145386e-26
circle,24,5.575451929415153e-16,0.0,0.0,5.062706571102665e-08,256,45,3.5,10.0,1,1,1,10.0,4.030834961805537e-16,1,9556,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9950020824656394,2.541059675057255e-26
