curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,parameter,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,rule,trace_error
kite,36,1.1050979863115128e-14,0.5849415472980949,1.8673071580474163,5.0837641256294895e-08,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,0.2799445170577772,2,2548,73,1.0,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,0.11953462188027772,fjs_q1,0.6185315711807567
kite,36,1.1050979863115128e-14,0.08752180391946478,0.4056375710007178,5.0837641256294895e-08,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,0.08370562481360276,2,4676,73,2.0,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,0.21936573465941078,fjs_q2,0.12418182212782324
kite,36,1.1050979863115128e-14,0.0001357936184236752,0.0009034399070227917,5.0837641256294895e-08,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,0.0026105030152828814,2,8996,73,4.0,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,0.42203039969975603,fjs_q4,0.0011200663031124649
kite,36,1.1050979863115128e-14,0.035812348621728544,0.19975425115646703,5.0837641256294895e-08,512,0.16738230496393547,10.0,21,11,55,10.000000000000002,0.039074882826583626,2,4164,73,1.2,0.9786853444353518,0.9786853444339247,0.9774857193299159,0.9781713975751091,0.26866735612871345,0.2686673561259983,0.23065478476220763,0.3041976772975109,0.2331674431855752,0.19534621880277725,jwy_mu1.2,0.04730376867825976
kite,81,1.20459507714717e-14,1.0181037037939218,1.6812634101205903,3.592921826317558e-07,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,0.59381996246551,2,7052,163,1.0,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,0.06635552711806993,fjs_q1,1.0900847914556127
kite,81,1.20459507714717e-14,0.8375823511438778,1.822080177617537,3.592921826317558e-07,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,0.4002332162020174,2,13252,163,2.0,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,0.12469419247995785,fjs_q2,0.8378603617750119
kite,81,1.20459507714717e-14,0.3602999293115893,1.0129195543710316,3.592921826317558e-07,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,0.16044796192207986,2,25052,163,4.0,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,0.23572584591064774,fjs_q4,0.37990516829681714
kite,81,1.20459507714717e-14,0.43199404456121115,1.3806508965664304,3.592921826317558e-07,1024,0.16738230496393547,30.0,43,27,65,30.000000000000004,0.1871028947692488,2,10396,163,1.2,0.9872544747321754,0.9872545199506502,0.98932009862943,0.9846900527918694,0.23150200377087304,0.2315020877190442,0.21001427871638786,0.253517167179289,0.2133000576076348,0.09782076856486883,jwy_mu1.2,0.45008155868954985
crescent,24,1.4393415477829739e-12,0.07400950359223349,0.22755490614217458,7.04871400789152e-09,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,0.018249066712213487,2,1324,49,1.0,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,0.13785922532278216,fjs_q1,0.03595592782413245
crescent,24,1.4393415477829739e-12,9.323659455619929e-05,0.000738749162478734,7.04871400789152e-09,256,0.09053850616843741,2.0,25,5,-1,1.9999999999999996,0.0016524400240914162,2,2716,49,2.0,0.9251208185700501,0.9251208185700432,0.8562576810940832,0.9308355142985905,0.2224450692081303,0.22244506920813312,0.16976081300878126,0.27496810589208137,0.17386851086153216,0.282798833819242,fjs_q2,0.001057185447116224
