band_penalty,curve,cutoff,cutoff_converged,field_band_over_kd,field_field_error,field_gradient_error,field_halfband,field_matrix_error,field_nonzeros,field_q_equivalent,field_retained,field_trace_error,gradient_band_over_kd,gradient_field_error,gradient_gradient_error,gradient_halfband,gradient_matrix_error,gradient_nonzeros,gradient_q_equivalent,gradient_retained,gradient_step_consistency,gradient_trace_error,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,max_mode,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,shape_direction_modes,tolerance
2,ellipse,24,8.331431036509984e-16,2.0,5.689321835604037e-05,0.004103777813641951,4,0.0007696283367851771,1684,1.0277966847395015,0.1753436068304873,0.00034163639381439134,3.0,5.47501088362298e-07,7.944293899813015e-05,6,0.0004223913975768387,2380,1.5416950271092522,0.2478134110787172,8.315510751095986e-09,2.9466228954688327e-05,256,0.30951960420311164,2.0,1,1,1,2.0,1,49,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,3,0.0001
4,ellipse,24,8.331431036509984e-16,3.0,5.47501088362298e-07,7.944293899813015e-05,6,0.0004223913975768387,2380,1.5416950271092522,0.2478134110787172,2.9466228954688327e-05,5.0,5.0379239916352555e-11,1.3141872179146276e-08,10,0.00014148679724877377,3676,2.5694917118487535,0.3827571845064556,8.315510751095986e-09,1.5542729841945797e-07,256,0.30951960420311164,2.0,1,1,1,2.0,1,49,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,3,1e-06
2,ellipse,24,1.062559454371746e-15,1.0,0.0015160481573355908,0.01589931293289219,10,0.007806836608684973,3676,2.5694917118487535,0.3827571845064556,0.00492976424650437,1.2,8.995185291601985e-05,0.001541704225523023,12,0.0033791213096310883,4276,3.0833900542185044,0.44523115368596416,6.201586944019784e-08,0.0009145634573497459,256,0.30951960420311164,10.0,1,1,1,10.0,1,49,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,3,0.01
4,ellipse,24,1.062559454371746e-15,1.2,8.995185291601985e-05,0.001541704225523023,12,0.0033791213096310883,4276,3.0833900542185044,0.44523115368596416,0.0009145634573497459,1.6,1.6632971711815386e-07,6.38323135017406e-06,16,0.0009027220013730597,5380,4.111186738958006,0.5601832569762599,6.201586944019784e-08,2.443803523543415e-05,256,0.30951960420311164,10.0,1,1,1,10.0,1,49,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,3,0.0001
2,ellipse,24,1.062559454371746e-15,1.6,1.6632971711815386e-07,6.38323135017406e-06,16,0.0009027220013730597,5380,4.111186738958006,0.5601832569762599,2.443803523543415e-05,1.8,5.424672312467114e-09,2.941941772383846e-07,18,0.0004748207045861984,5884,4.625085081327756,0.6126613910870471,6.201586944019784e-08,3.471130605288759e-06,256,0.30951960420311164,10.0,1,1,1,10.0,1,49,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,3,1e-06
2,ellipse,54,3.5465423700679905e-15,0.8666666666666667,0.005754141483391887,0.030920310323195963,26,0.007844998366673862,20300,5.542117244915511,0.4271525965827792,0.00800535655800731,0.9333333333333333,0.000996887935857193,0.0071000983456337785,28,0.0031322445812145797,21604,5.968433956062858,0.4545913643632691,3.4506802543877947e-07,0.002111638020903815,512,0.30951960420311164,30.0,1,1,1,30.0,1,109,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,3,0.01
2,ellipse,54,3.5465423700679905e-15,1.0666666666666667,1.4177868320402499e-05,0.0001701472194742279,32,0.00044166677196775633,24116,6.821067378357553,0.5074488679404091,0.00013470925085862543,1.1333333333333333,1.2632319100797902e-06,1.895912904813593e-05,34,0.00016520754702846363,25324,7.2473840895049,0.5328676037370592,3.4506802543877947e-07,2.9661576792835936e-05,512,0.30951960420311164,30.0,1,1,1,30.0,1,109,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,3,0.0001
2,ellipse,54,3.5465423700679905e-15,1.2,9.821811662448146e-08,1.7956095680439936e-06,36,6.434971819886011e-05,26500,7.673700800652247,0.557612995539096,5.9893208078061104e-06,1.2666666666666666,6.95937965726814e-09,1.5131373871307453e-07,38,2.6558769923861616e-05,27644,8.100017511799594,0.5816850433465196,3.4506802543877947e-07,1.137549126724646e-06,512,0.30951960420311164,30.0,1,1,1,30.0,1,109,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,3,1e-06
2,kite,24,7.591860255150457e-15,2.0,0.004097033006859446,0.044010432343555034,4,0.004572055394156381,1684,1.0277966847395015,0.1753436068304873,0.007396999495122264,3.0,0.0003564442206692901,0.004370918859941927,6,0.0017676147237077739,2380,1.5416950271092522,0.2478134110787172,5.758841378711142e-09,0.001609589237358148,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,2,49,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,3,0.01
1,kite,24,7.591860255150457e-15,3.5,3.550412748077937e-05,0.00047765844281467295,7,0.0009755329011951817,2716,1.7986441982941275,0.282798833819242,0.0005612336330662582,4.0,3.5573808503244892e-06,7.406391076943869e-05,8,0.000679781934207971,3044,2.055593369479003,0.31695127030403997,5.758841378711142e-09,0.00018109039680110924,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,2,49,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,3,0.0001
