iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
10,1.5648201505101957,1.0549744061614745,0.19682999999999992,0.00016833235064894845,0.0002308782060071295,8.392038431648213e-05,0.09423104786315932,0.5804763669050681,3.263322552091684e-08,0.0009167071979125219,0.0009190024970595784,3,160,distance_boundary_and_eikonal_tolerances,309,1.3861243381748265e-14
11,1.5641397112730837,1.054666666355458,0.059048999999999977,5.686774783999433e-05,7.655486973671571e-05,7.611068451548863e-05,0.09062247980577245,0.5723642005643043,3.3031632934313673e-08,0.0009063977177474117,0.0009190024970595784,5,180,distance_boundary_and_eikonal_tolerances,343,1.3861243381748265e-14
12,1.5584527292246277,1.0523097215426542,0.017714699999999993,0.00025970610100915624,0.00026205622242044267,7.18149934125836e-05,0.0938598950077445,0.5693617536463745,3.837948086508197e-08,0.000917915126928092,0.0009190024970595784,3,160,distance_boundary_and_eikonal_tolerances,373,1.3861243381748265e-14
13,1.555909786164188,1.051360475965,0.005314409999999998,0.00013446920935004535,0.00016357465236378673,8.090968323062539e-05,0.09035692846868892,0.568336082383786,3.738807741724727e-08,0.0009121211353394868,0.0009190024970595784,4,180,distance_boundary_and_eikonal_tolerances,405,1.3861243381748265e-14
14,1.5519282155284948,1.050161605915343,0.0015943229999999993,0.00013804843548631914,0.00014408593504933685,6.970469775336456e-05,0.0889937495510229,0.5659899109522303,3.3597148386705494e-08,0.0009093804389740274,0.0009190024970595784,4,180,distance_boundary_and_eikonal_tolerances,437,1.3861243381748265e-14
15,1.5464718286171615,1.047598728310278,0.0004782968999999998,0.00028024025208265663,0.00031874194461390407,6.376417639811664e-05,0.08814288294933387,0.564038523960957,3.2303481641037836e-08,0.0009187114040413925,0.0009190024970595784,3,180,distance_boundary_and_eikonal_tolerances,467,1.3861243381748265e-14
16,1.5432699339407527,1.0463833234973583,0.00014348906999999992,0.00013931671746184843,0.00014256330371852885,6.923872123823392e-05,0.08691236213486148,0.5627726528313632,2.951859923822856e-08,0.0009157392397844654,0.0009190024970595784,4,180,distance_boundary_and_eikonal_tolerances,499,1.3861243381748265e-14
17,1.541116621172518,1.0453402432235221,4.304672099999997e-05,0.0001379128490406871,0.00013215128753505802,7.155811294481621e-05,0.08599739169252368,0.5610622377240803,2.6437237360659588e-08,0.0009170490151347357,0.0009190024970595784,4,180,distance_boundary_and_eikonal_tolerances,531,1.3861243381748265e-14
18,1.5373480630557688,1.04400893811979,1.2914016299999992e-05,0.0001389133790923557,0.00017155331535055466,0.00011052944342785882,0.08474996550705746,0.5473341155924701,2.5827055588796555e-08,0.0009174896738387786,0.0009190024970595784,4,180,distance_boundary_and_eikonal_tolerances,563,1.3861243381748265e-14
19,1.535638426109681,1.0435696257802154,3.874204889999997e-06,6.932738366362035e-05,9.671649294168018e-05,6.251074233364793e-05,0.08432719143263742,0.5590208413538756,2.0336529356346222e-08,0.000917910572802636,0.0009190024970595784,5,180,distance_boundary_and_eikonal_tolerances,597,1.3861243381748265e-14
20,1.5323175273725083,1.042189991599398,1.1622614669999991e-06,0.0001412879138447298,0.00013384043544967453,5.128795880710703e-05,0.08369312413978808,0.549703019442868,2.4935853538271546e-08,0.0009139757605158411,0.0009190024970595784,4,180,distance_boundary_and_eikonal_tolerances,629,1.3861243381748265e-14
