curve,cutoff,halfband,halfwidth,kd,matrix_error,nonzeros,order,retained,rule,truncated_vs_full,truncated_vs_reference,untruncated_error
ellipse,32,32,0.30951960420311164,10.0,0.021663027165093666,3668,65,0.2170414201183432,jwy_mu1.2,0.017109027697484964,0.017109027697485138,1.8410275746076603e-15
ellipse,24,3,0.30951960420311164,10.0,0.26332341978742246,1324,49,0.13785922532278216,fjs_q1,0.860392817058421,0.8603928170584209,1.9636135243737945e-15
ellipse,24,7,0.30951960420311164,10.0,0.06375571216373657,2716,49,0.282798833819242,fjs_q2,0.125269010331625,0.12526901033162502,1.9636135243737945e-15
ellipse,24,15,0.30951960420311164,10.0,0.0017191113516807227,5116,49,0.5326947105372761,fjs_q4,4.250797020076103e-06,4.250797020179788e-06,1.9636135243737945e-15
ellipse,24,24,0.30951960420311164,10.0,0.04653166128112216,2604,49,0.27113702623906705,jwy_mu1.2,0.09071355880119687,0.09071355880119696,1.9636135243737945e-15
ellipse,16,3,0.30951960420311164,10.0,0.30793843412729915,876,33,0.20110192837465565,fjs_q1,0.8603928170584213,0.8603928170584211,2.0074925356648296e-15
ellipse,16,6,0.30951960420311164,10.0,0.07455788660622616,1548,33,0.35537190082644626,fjs_q2,0.1252690103316249,0.12526901033162507,2.0074925356648296e-15
ellipse,16,13,0.30951960420311164,10.0,0.0039516375443675745,2836,33,0.6510560146923783,fjs_q4,8.995185291600763e-05,8.995185291611091e-05,2.0074925356648296e-15
ellipse,16,16,0.30951960420311164,10.0,0.07295721239105075,1580,33,0.3627180899908173,jwy_mu1.2,0.1225469725878893,0.12254697258788941,2.0074925356648296e-15
kite,128,5,0.16738230496393547,2.0,0.0014407193289769449,11188,257,0.042347348180896,fjs_q1,0.0013616658356498043,0.0013616658356500222,2.1124680006450825e-15
kite,128,11,0.16738230496393547,2.0,0.00014711011119880133,23116,257,0.08749564717103968,fjs_q2,1.2594311154413826e-07,1.259431115571542e-07,2.1124680006450825e-15
kite,128,22,0.16738230496393547,2.0,1.261048830532322e-05,44236,257,0.16743629729443293,fjs_q4,1.956700034287825e-14,1.9757006464120857e-14,2.1124680006450825e-15
kite,128,101,0.16738230496393547,2.0,0.00036705417467137,17204,257,0.06511832124634741,jwy_mu1.2,2.4545950654749505e-11,2.4545893694675102e-11,2.1124680006450825e-15
kite,96,5,0.16738230496393547,2.0,0.0016622306929179476,8372,193,0.056189427904104805,fjs_q1,0.0013616658356497464,0.0013616658356499826,2.0313805622728406e-15
kite,96,10,0.16738230496393547,2.0,0.00018073145940221319,15772,193,0.10585519074337565,fjs_q2,1.80760925562144e-07,1.807609253962369e-07,2.0313805622728406e-15
kite,96,21,0.16738230496393547,2.0,2.0584835802031204e-05,31348,193,0.21039490993046794,fjs_q4,1.993564128489931e-13,1.9929548250717e-13,2.0313805622728406e-15
kite,96,80,0.16738230496393547,2.0,0.0004815753613130433,12556,193,0.08427071867701147,jwy_mu1.2,1.2972742145442535e-10,1.297274366407747e-10,2.0313805622728406e-15
kite,64,4,0.16738230496393547,2.0,0.0028226393544449275,4564,129,0.06856559101015564,fjs_q1,0.0040970330068593195,0.004097033006859545,2.367747256021e-15
kite,64,9,0.16738230496393547,2.0,0.0004011620552782868,9444,129,0.1418784928790337,fjs_q2,4.507622116715233e-06,4.507622116758784e-06,2.367747256021e-15
kite,64,19,0.16738230496393547,2.0,3.766641219508563e-05,18604,129,0.27949041523946877,fjs_q4,3.5742356738385385e-12,3.5742477058837017e-12,2.367747256021e-15
kite,64,57,0.16738230496393547,2.0,0.0007149123019244227,7988,129,0.12000480740340123,jwy_mu1.2,3.553490097228829e-08,3.5534900988566907e-08,2.367747256021e-15
kite,48,4,0.16738230496393547,2.0,0.003253974969847795,3412,97,0.09065788075247104,fjs_q1,0.004097033006859402,0.004097033006859541,2.271359669687369e-15
kite,48,9,0.16738230496393547,2.0,0.00046246477956206133,7012,97,0.1863109788500372,fjs_q2,4.507622116705552e-06,4.507622116794237e-06,2.271359669687369e-15
