arm,bandwidth,bem_seconds,bem_solve_count,canonical_per_frequency_relative_field_error,case,conditioning_audit_seconds,conversion_seconds,failure_reason,gradient_calls,gradient_points,maximum_relative_field_error,maximum_system_condition,maximum_system_residual,nodes,per_frequency_relative_field_error,raw_geometry_m,returned_geometry_m,self_convergence_to_next_nodes,status,value_calls,value_points
projected_tangent_jet,4,0.08122876659035683,2,,circle_exact,0.011210985481739044,0.24229093827307224,,8,756,1.4919555694417488e-07,4389.076825024774,5.54804665901092e-15,128,"[7.183881651775851e-09, 1.4919555694417488e-07]",,1.8609521197640908e-09,4.41353192548437e-14,success,11,5173
projected_tangent_jet,4,0.31882620323449373,2,,circle_exact,0.08132054004818201,0.24229093827307224,,8,756,1.4919556028175783e-07,4389.076825024786,2.656947781390414e-15,256,"[7.183881889332109e-09, 1.4919556028175783e-07]",,1.8609521197640908e-09,,success,11,5173
shared_zero_method_b,8,0.02400699071586132,2,,circle_exact,0.0018284106627106667,0.14709842205047607,,4,372,2.1127198051191768e-13,4389.076825019143,2.1814312414395372e-15,64,"[8.176256126705016e-15, 2.1127198051191768e-13]",,4.442279660508709e-15,5.953235988971703e-14,success,7,4789
shared_zero_method_b,8,0.08156309463083744,2,,circle_exact,0.011217454448342323,0.14709842205047607,,4,372,2.1514242543184668e-13,4389.07682501917,5.123328092199221e-15,128,"[8.786496101227803e-15, 2.1514242543184668e-13]",,4.442279660508709e-15,4.726581444424856e-14,success,7,4789
shared_zero_method_b,8,0.3202404621988535,2,,circle_exact,0.07858750503510237,0.14709842205047607,,4,372,2.101644589285139e-13,4389.076825019149,2.6032113621175434e-15,256,"[8.74804802306957e-15, 2.101644589285139e-13]",,4.442279660508709e-15,,success,7,4789
offsurface_zero_method_b,8,0.02369132824242115,2,,circle_exact,0.0018045781180262566,0.2427829373627901,,7,660,3.202079969954973e-08,4389.07682490866,2.1266032990387115e-15,64,"[1.9518745615830126e-10, 3.202079969954973e-08]",,1.1381663173043778e-09,3.273496887169213e-14,success,10,5077
offsurface_zero_method_b,8,0.08107013627886772,2,,circle_exact,0.01132072601467371,0.2427829373627901,,7,660,3.202080182546783e-08,4389.07682490868,4.834889905845017e-15,128,"[1.951889099543506e-10, 3.202080182546783e-08]",,1.1381663173043778e-09,4.8865389131941664e-14,success,10,5077
offsurface_zero_method_b,8,0.3209803802892566,2,,circle_exact,0.07705125119537115,0.2427829373627901,,7,660,3.202079596965316e-08,4389.07682490866,2.6156206329471204e-15,256,"[1.9518886004280702e-10, 3.202079596965316e-08]",,1.1381663173043778e-09,,success,10,5077
distance_contacts,8,0.023694979958236217,2,,circle_exact,0.0018171584233641624,0.25563266035169363,,7,660,4.466859400860071e-08,4389.076825146734,2.128739577641036e-15,64,"[9.106755667992222e-11, 4.466859400860071e-08]",,1.6613119919000158e-09,5.234711075568733e-14,success,9,4981
distance_contacts,8,0.08126450143754482,2,,circle_exact,0.011166061274707317,0.25563266035169363,,7,660,4.466860352824121e-08,4389.076825146737,5.413242583152192e-15,128,"[9.10675570557788e-11, 4.466860352824121e-08]",,1.6613119919000158e-09,6.466738583186607e-14,success,9,4981
distance_contacts,8,0.3200386790558696,2,,circle_exact,0.07799935713410378,0.25563266035169363,,7,660,4.46685951355319e-08,4389.076825146733,2.6362751412094054e-15,256,"[9.106682333301763e-11, 4.46685951355319e-08]",,1.6613119919000158e-09,,success,9,4981
