best_error,bounding_radii,coupling_dimension_0.001,coupling_dimension_1e-06,coupling_dimension_1e-09,coupling_solve_0.001,coupling_solve_1e-06,coupling_solve_1e-09,cutoff,gap_absolute,gap_wavelengths,grid,kd,local_assemble,local_factor,local_respond,local_total,mie_error,monolithic_assemble,monolithic_dimension,monolithic_factor,monolithic_grid_control,monolithic_solve,order_0.001,order_1e-06,order_1e-09,pair,separation,trace_dimension
2.910614277330949e-14,[0.5, 0.5],37,45,53,0.002268385956995189,0.003126239054836333,0.0041024640668183565,57,0.20943951023931953,1.0,512,30.0,0.9595800790702924,0.0013662290293723345,0.49066082504577935,1.451631329022348,4.489257985673247e-15,1.1633568949764594,460,0.004280630964785814,1.3490457587505332e-14,0.000844540074467659,18,22,26,two_circles,1.2094395102393196,230
2.1072928054377081e-13,[0.5, 0.5],37,45,57,0.0022527059772983193,0.003132304991595447,0.0046260630479082465,57,0.10471975511965977,0.5,512,30.0,0.9586056270636618,0.0013870218535885215,0.49467638914939016,1.4546918789856136,4.489257985673247e-15,1.147964422008954,460,0.004401511047035456,1.4574959705672946e-14,0.000841607921756804,18,22,28,two_circles,1.1047197551196597,230
1.1181736186186083e-12,[0.5, 0.5],37,49,61,0.002296905964612961,0.0035037060733884573,0.005017865914851427,57,0.05235987755982988,0.25,512,30.0,0.964277197024785,0.0014822419034317136,0.48935724003240466,1.455142239923589,4.489257985673247e-15,1.1611947619821876,460,0.004307686001993716,1.4232394695347807e-14,0.0009040359873324633,18,24,30,two_circles,1.05235987755983,230
3.822409363761096e-12,[0.5, 0.5],37,49,61,0.002200462040491402,0.0034263620618730783,0.005010809050872922,57,0.025132741228718343,0.12,512,30.0,0.9620217769406736,0.0014683410990983248,0.49185070605017245,1.4553644529078156,4.489257985673247e-15,1.165855795959942,460,0.004526129923760891,1.9375024774287497e-12,0.0009765139548107982,18,24,30,two_circles,1.0251327412287183,230
5.994888849694748e-07,[0.5, 0.5],37,49,-1,0.0022452479461207986,0.003435363993048668,,57,0.012566370614359171,0.06,512,30.0,0.9737206168938428,0.0014489711029455066,0.500510417856276,1.4757031290791929,4.489257985673247e-15,1.150901113054715,460,0.004383660038001835,5.996845587080878e-07,0.0008603879250586033,18,24,-1,two_circles,1.0125663706143593,230
0.0003589514971887806,[0.5, 0.5],37,-1,-1,0.002186878933571279,,,57,0.006283185307179586,0.03,512,30.0,0.9603298779111356,0.0014447160065174103,0.4907736460445449,1.4525711219757795,4.489257985673247e-15,1.1496946989791468,460,0.004288334981538355,0.0003585648940170373,0.0008451640605926514,18,-1,-1,two_circles,1.0062831853071796,230
1.7967258905565457e-14,[0.5, 0.5548858652933805],21,29,37,0.0009254099568352103,0.0015131499385461211,0.0022067410172894597,36,1.8849555921538759,3.0,512,10.0,0.9224856069777161,0.0004861691268160939,0.07093731302302331,0.9939289239700884,nan,1.0935126149561256,292,0.0012635410530492663,5.102472506712928e-15,0.0003914369735866785,10,14,18,ellipse_crescent,2.9398414574472564,146
1.7320307630328165e-14,[0.5, 0.5548858652933805],21,29,37,0.0010228280443698168,0.0015828489558771253,0.0023292049299925566,36,1.2566370614359172,2.0,512,10.0,0.9206633070716634,0.0004891250282526016,0.07116776402108371,0.9923404891742393,nan,1.1007159100845456,292,0.0012210860149934888,4.382388339032402e-15,0.0003621830837801099,10,14,18,ellipse_crescent,2.311522926729298,146
7.066321962117819e-14,[0.5, 0.5548858652933805],21,29,37,0.0009528900263831019,0.0015888640191406012,0.0022095999447628856,36,0.6283185307179586,1.0,512,10.0,0.9212597910081968,0.000507485936395824,0.07016367209143937,0.9919503459241241,nan,1.1187339919852093,292,0.0012953090481460094,4.577246872320635e-15,0.00039966602344065905,10,14,18,ellipse_crescent,1.6832043960113392,146
2.495472375317685e-11,[0.5, 0.5548858652933805],21,29,45,0.0009934830013662577,0.0015536140417680144,0.0030117901042103767,36,0.3141592653589793,0.5,512,10.0,0.9290031129494309,0.0005014139460399747,0.07091310201212764,1.0004370990209281,nan,1.1346066070254892,292,0.001290994929149747,4.12664799675436e-15,0.00039171590469777584,10,14,22,ellipse_crescent,1.3690451306523599,146
