case,method,repetition,seconds,data_error,nodal_nodes_per_component,one_time_setup_seconds
ellipse,compiled,2,0.008798323920927942,4.6818887642157266e-15,32,0.8786993440007791
ellipse,compiled,3,0.00874389207456261,4.6818887642157266e-15,32,0.8786993440007791
ellipse,native,3,0.06947627000045031,4.727064645148166e-15,32,0.007095064967870712
ellipse,nodal,3,0.0033237090101465583,5.258290689983025e-15,32,0
ellipse,nodal,4,0.0030175340361893177,5.258290689983025e-15,32,0
ellipse,native,4,0.06942761794198304,4.727064645148166e-15,32,0.007095064967870712
ellipse,compiled,4,0.008765895967371762,4.6818887642157266e-15,32,0.8786993440007791
ellipse,compiled_self_matrix,0,0.0017397630726918578,,,0.8786993440007791
ellipse,compiled_self_matrix,1,0.0014768709661439061,,,0.8786993440007791
ellipse,compiled_self_matrix,2,0.0013279590057209134,,,0.8786993440007791
ellipse,compiled_self_matrix,3,0.0013196869986131787,,,0.8786993440007791
ellipse,compiled_self_matrix,4,0.0013152040774002671,,,0.8786993440007791
star,nodal,0,0.00726307590957731,2.5361909708912e-09,64,0
star,native,0,0.10688586405012757,4.811189391883357e-15,64,0.13414404704235494
star,compiled,0,0.011200150940567255,6.053877888827243e-15,64,1.1838761400431395
star,compiled,1,0.01071887998841703,6.053877888827243e-15,64,1.1838761400431395
star,native,1,0.10614933900069445,4.811189391883357e-15,64,0.13414404704235494
star,nodal,1,0.007245068089105189,2.5361909708912e-09,64,0
star,nodal,2,0.006928774993866682,2.5361909708912e-09,64,0
star,native,2,0.1080789640545845,4.811189391883357e-15,64,0.13414404704235494
star,compiled,2,0.010931210010312498,6.053877888827243e-15,64,1.1838761400431395
star,compiled,3,0.010702705010771751,6.053877888827243e-15,64,1.1838761400431395
star,native,3,0.10575462796259671,4.811189391883357e-15,64,0.13414404704235494
star,nodal,3,0.007114361971616745,2.5361909708912e-09,64,0
star,nodal,4,0.006876734900288284,2.5361909708912e-09,64,0
star,native,4,0.11548228503670543,4.811189391883357e-15,64,0.13414404704235494
star,compiled,4,0.010912353987805545,6.053877888827243e-15,64,1.1838761400431395
star,compiled_self_matrix,0,0.0017272529657930136,,,1.1838761400431395
star,compiled_self_matrix,1,0.0014571099309250712,,,1.1838761400431395
star,compiled_self_matrix,2,0.001418277039192617,,,1.1838761400431395
star,compiled_self_matrix,3,0.0014390680007636547,,,1.1838761400431395
star,compiled_self_matrix,4,0.0013699650298804045,,,1.1838761400431395
ellipse_star,nodal,0,0.01943530107382685,1.8045113805739878e-09,64,0
ellipse_star,native,0,0.1807462569558993,4.850426408440449e-15,64,0.1427386460127309
ellipse_star,compiled,0,0.025705522042699158,5.392963755274793e-15,64,2.064075018046424
ellipse_star,compiled,1,0.026017193915322423,5.392963755274793e-15,64,2.064075018046424
ellipse_star,native,1,0.1886376190232113,4.850426408440449e-15,64,0.1427386460127309
ellipse_star,nodal,1,0.019249891978688538,1.8045113805739878e-09,64,0
ellipse_star,nodal,2,0.018995878053829074,1.8045113805739878e-09,64,0
ellipse_star,native,2,0.18155581690371037,4.850426408440449e-15,64,0.1427386460127309
ellipse_star,compiled,2,0.02657210803590715,5.392963755274793e-15,64,2.064075018046424
ellipse_star,compiled,3,0.02594288403633982,5.392963755274793e-15,64,2.064075018046424
ellipse_star,native,3,0.1866948570823297,4.850426408440449e-15,64,0.1427386460127309
