coefficient_error,curve,factor_seconds,field_error,gmres_seconds,interpolation_error,kd,plain_iterations,preconditioned_iterations,projection_error,rank,reconstruct_seconds,samples,spacing,stride,tolerance
4.917677487505703e-06,ellipse,0.0005580860888585448,2.929335592564064e-05,0.00044016295578330755,4.91767750994014e-06,9.8125,15,3,4.671595537263847e-10,14,0.0007402700139209628,41,0.5,4,1e-09
1.4644823990799115e-06,ellipse,0.0005572569789364934,6.5505177522407406e-06,0.0003899880684912205,1.4644824625105635e-06,12.5625,17,2,4.307173580141409e-10,14,0.000746448989957571,41,0.5,4,1e-09
1.4800030959359597e-06,ellipse,0.0005784740205854177,5.938388945010326e-06,0.0003509910311549902,1.4800030984721476e-06,15.4375,19,2,7.999685337373939e-11,14,0.0007223510183393955,41,0.5,4,1e-09
6.176236210869966e-06,ellipse,0.0005607489729300141,2.1035963699750718e-05,0.00046915002167224884,6.176236224532781e-06,18.1875,21,3,4.0576289645801535e-10,14,0.0007299100980162621,41,0.5,4,1e-09
1.3948556258635652e-06,ellipse,0.0005698919994756579,4.470453074517263e-06,0.00037916889414191246,1.3948556261285366e-06,20.9375,23,2,2.842819106207699e-11,14,0.000827687093988061,41,0.5,4,1e-09
6.460557301857088e-05,ellipse,0.0005779679631814361,0.00019808270517715,0.00044307601638138294,6.460557302292399e-05,23.8125,25,3,7.94363637802075e-10,14,0.0007595580536872149,41,0.5,4,1e-09
6.143502479227977e-07,ellipse,0.0005548059707507491,0.014005213514796711,0.0006349299801513553,0.0013133304970122759,4.3125,10,5,0.0013133303533220146,7,0.0008133079390972853,81,0.25,2,0.001
1.494756432745509e-07,ellipse,0.0005492500495165586,0.00503124340705497,0.00047963892575353384,0.0005992498347733068,7.0625,13,4,0.0005992498161308682,7,0.0004647299647331238,81,0.25,2,0.001
1.948891724463074e-07,ellipse,0.0005868750158697367,0.009209716433336387,0.0004769910592585802,0.0008312940234011406,9.8125,15,4,0.0008312940005561681,7,0.00046205392573028803,81,0.25,2,0.001
2.3012447287620979e-07,ellipse,0.0005504059372469783,0.009933460672208029,0.00047920504584908485,0.0006967513301405344,12.5625,17,4,0.0006967512921375542,7,0.00046826701145619154,81,0.25,2,0.001
2.4205419821765254e-07,ellipse,0.0005542469443753362,0.0059040926961239065,0.0004605790600180626,0.00030136206980462216,15.4375,19,4,0.00030136197259558284,7,0.0004698140546679497,81,0.25,2,0.001
2.3729250343435887e-07,ellipse,0.000555247999727726,0.00143299229095121,0.0004656999371945858,0.00020511457081339945,18.1875,21,4,0.00020511443355413763,7,0.0004758820869028568,81,0.25,2,0.001
2.237760080847861e-07,ellipse,0.000561106950044632,0.005158919275410094,0.0005057150265201926,0.0004003061752096328,20.9375,23,4,0.0004003061126628809,7,0.0006321560358628631,81,0.25,2,0.001
1.9659921459815177e-06,ellipse,0.0005521290004253387,0.010943919252216654,0.0004688390763476491,0.000568224124237285,23.8125,25,4,0.000568220723171341,7,0.0004607879091054201,81,0.25,2,0.001
6.268988551814751e-07,ellipse,0.0005539580015465617,9.241995793144781e-06,0.00036894402001053095,7.954371893638438e-07,4.3125,10,2,4.896101994558816e-07,11,0.0008132769726216793,81,0.25,2,1e-06
1.4993309687129793e-07,ellipse,0.0005545699968934059,1.3673488013282938e-06,0.0003594818990677595,1.6824485287580822e-07,7.0625,13,2,7.633083872187595e-08,11,0.0007761470042169094,81,0.25,2,1e-06
1.9504733777397005e-07,ellipse,0.000556300044991076,1.8779672350232454e-06,0.00037153693847358227,3.2655475042834583e-07,9.8125,15,2,2.6190559553530254e-07,11,0.0007561510428786278,81,0.25,2,1e-06
2.302219977515084e-07,ellipse,0.0005620850715786219,2.461366220839087e-06,0.0003599870251491666,3.949194810637246e-07,12.5625,17,2,3.2087260464443236e-07,11,0.0007613580673933029,81,0.25,2,1e-06
2.421349506782463e-07,ellipse,0.0005575940012931824,2.9665617588302567e-06,0.00035311898682266474,4.3102145404391213e-07,15.4375,19,2,3.5658121065420947e-07,11,0.0007696460234001279,81,0.25,2,1e-06
2.3739207541348932e-07,ellipse,0.0005605350015684962,3.668300523347389e-06,0.0003599200863391161,4.2383858641040347e-07,18.1875,21,2,3.5111842719962607e-07,11,0.0007501569343730807,81,0.25,2,1e-06
2.2401670421838426e-07,ellipse,0.0005589460488408804,2.5519550629678225e-06,0.00036248296964913607,3.2547105144750224e-07,20.9375,23,2,2.3610997722829884e-07,11,0.0007635770598426461,81,0.25,2,1e-06
1.9929740746499326e-06,ellipse,0.0005600169533863664,6.597095495494909e-06,0.00036201102193444967,2.0008945534486876e-06,23.8125,25,2,1.7785767935627538e-07,11,0.000765172066166997,81,0.25,2,1e-06
6.269006996449077e-07,ellipse,0.0005730090197175741,8.946435561913004e-06,0.00037875398993492126,6.269017459656148e-07,4.3125,10,2,1.145290713454639e-09,14,0.0009545229841023684,81,0.25,2,1e-09
1.4993309922778337e-07,ellipse,0.0005567600019276142,1.2241397049092726e-06,0.00036692910362035036,1.4993370820776715e-07,7.0625,13,2,4.272850263870245e-10,14,0.0009114419808611274,81,0.25,2,1e-09
1.9504733827445744e-07,ellipse,0.0005590129876509309,1.1340708086508917e-06,0.0003802030114457011,1.9504791353230024e-07,9.8125,15,2,4.736294897396393e-10,14,0.0009868479100987315,81,0.25,2,1e-09
2.3022199799709357e-07,ellipse,0.0005567839834839106,1.0598889450480541e-06,0.0003667420241981745,2.3022242364124508e-07,12.5625,17,2,4.428563010576333e-10,14,0.0009076689602807164,81,0.25,2,1e-09
2.421349508726971e-07,ellipse,0.0005783579545095563,9.479586649607223e-07,0.0003843609010800719,2.4213496116825003e-07,15.4375,19,2,7.252486171205212e-11,14,0.0009506649803370237,81,0.25,2,1e-09
2.3739207567398284e-07,ellipse,0.0005593810928985476,8.189925689283283e-07,0.00037537107709795237,2.3739242581587483e-07,18.1875,21,2,4.078089752033003e-10,14,0.0009279679507017136,81,0.25,2,1e-09
2.2401670517256692e-07,ellipse,0.0005589589709416032,7.083775579853377e-07,0.00037973502185195684,2.2401670746345896e-07,20.9375,23,2,2.840233119467747e-11,14,0.0009147579548880458,81,0.25,2,1e-09
1.9929761647641603e-06,ellipse,0.000559107051230967,6.064758879662154e-06,0.0003787550376728177,1.9929762442690033e-06,23.8125,25,2,5.649646420101731e-10,14,0.0009225739631801844,81,0.25,2,1e-09
