stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
split_proposal_first_k1,3,0.8713671597960503,0.9512319284117293,8.999999999999999e-05,28,8.266124335444852e-16,1,1,1.7090267910098191,split_seed_000,"[0.011918563423177738, 0.5807948224219214, 0.5643746920343021]",,
split_proposal_first_k1,4,0.8713655081996421,0.9512431808518423,2.6999999999999996e-05,35,8.158568926531654e-16,1,1,1.7090267910098191,split_seed_000,"[0.011930145602262502, 0.5808222828952885, 0.5643789742944196]",,
split_proposal_first_k1,5,0.8713653027811228,0.9512547462214114,8.099999999999999e-06,42,8.079370978436439e-16,1,1,1.7090267910098191,split_seed_000,"[0.011931969364539803, 0.5808320053400637, 0.5643833677871611]",,
split_proposal_first_k1,6,0.8713652768347062,0.9512574455310622,2.4299999999999996e-06,49,8.041827180299476e-16,1,1,1.7090267910098191,split_seed_000,"[0.011933062370126167, 0.5808354850504843, 0.5643843615405384]",,
split_proposal_first_k1,7,0.8713652735061246,0.9512586970542608,7.289999999999998e-07,56,8.517135707823178e-16,1,1,1.7090267910098191,split_seed_000,"[0.011933364619397717, 0.5808367240325403, 0.5643848323371158]",,
split_proposal_first_k1,8,0.8713652730818208,0.9512590894913643,2.1869999999999994e-07,63,8.141342039999986e-16,1,1,1.7090267910098191,split_seed_000,"[0.011933489376582644, 0.5808371676161833, 0.5643849769875071]",,
split_proposal_first_k1,9,0.8713652730257204,0.9512592401378211,6.560999999999998e-08,70,8.242962495639867e-16,1,1,1.7090267910098191,split_seed_000,"[0.01193353074328256, 0.5808373257244759, 0.5643850334898636]",,
split_proposal_first_k1,10,0.8713652730182742,0.951259292058193,1.9682999999999992e-08,77,8.002213516449162e-16,1,1,1.7090267910098191,split_seed_000,"[0.011933546097805498, 0.580837382312911, 0.5643850526643458]",,
split_proposal_first_k2,0,0.8713652730182742,0.951259292058193,0.001,11,8.002213516449162e-16,1,2,2.9206630770058837,split_seed_000,"[0.011933546097805498, 0.580837382312911, 0.5643850526643458, 0.0, 0.0]",,
split_proposal_first_k2,1,0.8565063224651273,0.9440484018562251,0.001,22,1.5704713321846907e-15,1,2,2.9206630770058837,split_seed_000,"[0.011947138815550385, 0.5806504522051943, 0.5643791196548483, 0.006, 0.005186306091988994]",,
split_proposal_first_k2,2,0.8414388403597559,0.9487575104986565,0.0003,34,1.1887232807200804e-15,1,2,2.9206630770058837,split_seed_000,"[0.011907576219021424, 0.5845400657044312, 0.5657777585470751, 0.004912307765937098, 0.004293973961031799]",,
